dataset,fairness_condition,cov,cov_s,acc,acc_s,pos_0,pos_0_s,pos_1,pos_1_s,neg_0,neg_0_s,neg_1,neg_1_s,abs_0,abs_0_s,abs_1,abs_1_s,tpr_0,tpr_0_s,tpr_1,tpr_1_s,fnr_0,fnr_0_s,fnr_1,fnr_1_s,par_0,par_0_s,par_1,par_1_s,fpr_0,fpr_0_s,fpr_1,fpr_1_s,tnr_0,tnr_0_s,tnr_1,tnr_1_s,nar_0,nar_0_s,nar_1,nar_1_s
compas,ind,56.02,2.47,68.91,1.42,15.66,2.74,16.54,2.84,38.28,3.57,40.52,1.66,46.06,4.68,42.95,2.99,24.8,3.65,25.96,4.11,27.04,4.46,28.74,1.98,48.16,6.77,45.31,4.26,9.29,2.25,8.1,1.9,46.06,4.7,51.03,2.74,44.65,4.63,40.86,2.91
compas,ind,56.12,2.17,68.64,1.47,16.76,2.39,14.7,1.67,39.94,4.35,41.08,2.01,43.3,5.36,44.22,2.39,26.26,3.46,23.55,2.83,28.92,4.96,29.31,2.15,44.82,7.22,47.14,1.92,10.14,1.91,6.8,1.0,47.55,5.63,51.59,3.06,42.31,5.23,41.61,3.39
german,ind,56.15,3.62,82.9,4.42,2.89,1.36,4.94,3.74,51.9,4.97,54.68,8.85,45.21,4.64,40.37,7.63,6.6,4.47,12.83,9.71,29.0,5.87,27.73,13.91,64.39,7.39,59.44,8.94,1.45,1.46,1.04,2.41,61.19,5.78,68.29,9.25,37.36,5.34,30.67,8.63
bank,ind,56.44,0.98,98.8,0.16,0.56,0.1,0.42,0.25,55.82,1.02,56.9,3.39,43.63,1.01,42.68,3.41,3.98,0.6,0.86,0.5,1.7,0.5,17.9,2.64,94.32,0.56,81.24,2.47,0.19,0.06,0.24,0.19,61.7,1.12,72.24,3.73,38.11,1.13,27.52,3.81
default,ind,57.23,1.36,86.66,0.59,1.06,0.41,1.05,0.2,56.47,1.1,55.97,1.78,42.46,1.27,42.97,1.81,3.02,1.26,3.78,0.79,33.01,1.44,33.39,1.89,63.97,2.12,62.83,1.88,0.44,0.24,0.35,0.1,64.04,1.22,61.82,2.15,35.53,1.23,37.83,2.17
adult,ind,57.62,0.9,85.32,0.65,2.28,0.5,2.3,0.28,55.46,1.06,55.06,1.58,42.26,0.92,42.64,1.64,7.24,1.63,16.37,2.39,35.55,1.71,22.43,1.75,57.21,1.62,61.2,3.3,0.05,0.03,0.53,0.15,64.44,0.95,59.17,1.58,35.51,0.95,40.31,1.56
german,ind,57.75,3.65,82.69,4.34,2.96,1.44,5.06,3.88,53.61,5.44,55.62,8.64,43.43,4.87,39.32,7.04,6.85,4.28,13.29,9.86,30.84,6.41,28.18,14.45,62.32,7.79,58.53,10.79,1.45,1.46,0.98,2.36,62.88,6.18,69.42,8.51,35.67,5.61,29.6,7.25
bank,ind,58.38,1.09,98.72,0.16,0.59,0.12,0.42,0.25,57.73,1.12,58.76,3.43,41.68,1.11,40.83,3.48,4.22,0.71,0.86,0.5,1.95,0.54,20.0,2.97,93.82,0.66,79.14,2.84,0.2,0.06,0.24,0.19,63.8,1.22,74.0,3.81,36.0,1.23,25.76,3.9
compas,ind,58.88,2.99,68.13,1.36,17.38,2.06,16.19,2.67,38.86,3.8,43.94,6.28,43.76,4.54,39.86,5.45,26.98,2.89,25.53,3.85,27.68,4.47,32.15,5.72,45.34,6.02,42.32,5.49,10.69,1.82,7.84,1.81,46.6,4.87,54.46,7.07,42.71,4.84,37.7,6.15
german,ind,59.25,3.28,82.45,4.28,3.26,1.45,5.06,3.88,54.55,5.56,57.6,9.14,42.19,4.97,37.35,7.59,7.56,3.97,13.29,9.86,31.82,7.41,29.64,13.78,60.62,8.51,57.07,9.95,1.55,1.46,0.98,2.36,63.8,6.49,71.7,9.0,34.65,5.97,27.31,8.09
adult,ind,59.64,0.87,85.09,0.58,2.34,0.46,2.38,0.3,57.55,1.53,56.76,1.81,40.11,1.21,40.87,1.89,7.4,1.51,16.49,2.37,37.34,1.66,23.45,1.78,55.26,1.31,60.05,3.38,0.05,0.03,0.59,0.18,66.67,1.77,60.96,1.89,33.27,1.76,38.45,1.86
default,ind,59.8,0.85,86.66,0.56,1.08,0.42,1.07,0.21,57.93,1.97,59.25,1.02,40.99,2.04,39.68,1.09,3.07,1.3,3.82,0.82,33.96,1.78,35.35,1.87,62.97,2.34,60.83,1.84,0.44,0.24,0.36,0.11,65.66,2.35,65.44,1.17,33.9,2.32,34.21,1.19
bank,ind,60.35,1.12,98.64,0.17,0.64,0.13,0.43,0.29,59.65,1.13,60.71,3.5,39.71,1.14,38.86,3.53,4.62,0.85,0.92,0.66,2.26,0.53,22.09,3.08,93.12,0.77,76.99,2.87,0.2,0.06,0.24,0.19,65.9,1.24,75.89,3.99,33.9,1.25,23.87,4.08
compas,ind,60.54,2.89,68.04,1.3,17.99,2.06,16.62,3.21,43.32,5.26,43.5,1.69,38.69,5.52,39.88,3.57,27.88,2.87,26.2,4.67,32.33,6.06,31.55,1.93,39.78,7.0,42.25,5.19,11.08,1.87,8.05,2.09,50.93,5.71,54.16,2.37,37.99,5.34,37.79,2.74
adult,ind,61.3,1.21,85.08,0.51,2.4,0.44,2.42,0.33,58.69,1.46,59.33,1.09,38.91,1.38,38.25,1.25,7.6,1.45,16.67,2.41,38.05,1.56,26.17,2.2,54.35,1.45,57.16,4.08,0.05,0.03,0.62,0.17,68.0,1.69,63.51,0.96,31.94,1.7,35.86,0.97
compas,ind,61.31,4.9,67.89,1.3,17.86,2.09,16.54,3.08,39.48,2.96,46.68,7.45,42.66,3.99,36.79,7.95,27.63,2.85,26.08,4.49,28.58,3.93,34.3,7.08,43.79,5.25,39.62,8.11,11.04,1.89,7.99,2.0,47.05,4.26,57.73,7.85,41.9,4.34,34.29,8.12
german,ind,61.4,3.03,81.84,3.98,3.62,1.68,5.26,3.99,56.18,5.82,60.1,9.81,40.21,4.86,34.65,8.42,8.34,4.37,13.29,9.86,33.32,6.89,32.45,15.0,58.34,7.97,54.26,11.13,1.76,1.59,1.29,2.42,65.53,7.55,73.96,9.5,32.71,6.92,24.75,9.01
